"SNDB_record_number","SNDB_study_number","notes","latitude","longitude","lat_lon_notes","elevation","MAT","MAP","climate_type","biome_name","treatment","treatment_level","lyr_top","lyr_bot","horizon","soil_type","ecosystem","wetland_type","plant_species","year_sampled","fraction_scheme","aggregate_size","gluN","murA","galN","manN","microbial_necromass_C","fungal_necromass_C","bacterial_necromass_C","bacterial_biomass_C","fungal_biomass_C","microbial_biomass_C","microbial_biomass_N","soil_OC","soil_C","soil_N","pH","pH_method","clay","silt","sand"
"16","164",,31.72,-94.59,,"133",18.51,1165.29,"temperate","Temperate Conifer Forests",,,"0","10",,"Typic Argiaquolls","grassland",,,,"bulk soil",,676,31,260,18,7081.05047167934,5686.05047167934,1395,,,,,,"11.5","1.04",,,"22.20","17.9",59.9
"17","164",,30.19,-97.05,,"167",19.94,902.28,"temperate","Temperate Broadleaf & Mixed Forests",,,"0","10",,"Pachic Argiustolls","grassland",,,,"bulk soil",,244,9,122,6,2485.46626597142,2080.46626597142,405,,,,,,"11.2","0.89",,,"27.90","8.4",63.7
"18","163",,52.26,13.13,,"167",9.05,561.79,"temperate","Temperate Broadleaf & Mixed Forests",,,"0","10",,,"grassland",,,,"bulk soil",,830,64,,,9528.42678024121,6648.42678024121,2880,,,"344",,,"16.3","1.7","6.9",,"17.00","77",6
"19","162",,51.283,9.983,,,7.08,684.49,"temperate","Temperate Broadleaf & Mixed Forests","farming management","OFM","0","20",,"Eutric Cambisols","cropland",,,,"bulk soil",,317,27.2,,,3727.83138160252,2503.83138160252,1224,"1224",2503.77,,,"14.4",,"1.23","7.8","water","14.10","41.6",44.3
"20","162",,51.317,9.867,,,7.08,684.49,"temperate","Temperate Broadleaf & Mixed Forests","farming management","CFM","0","20",,"Eutric Cambisols","cropland",,,,"bulk soil",,316,24.2,,,3622.34262627871,2533.34262627871,1089,"1089",2533.29,,,"10.6",,"1.12","7.9","water","17.50","45.8",36.7
"21","161",,51.25,4.767,,,10.19,800.05,"temperate","Temperate Broadleaf & Mixed Forests",,,"0","10",,"Luvisols","grassland",,,,"bulk soil",,885,26,299,,8801.23587947299,7631.23587947299,1170,"1170",7631.18,,,,"21.00","2","6.32",,"2.5","4.5",93
"22","160",,50.617,3.567,,,10.09,760.28,"temperate","Temperate Broadleaf & Mixed Forests",,,"0","10",,"Luvisols","cropland",,,,"bulk soil",,164,11,77,,1829.79210285396,1334.79210285396,495,"1151.55",3016.47,,,"11.3",,"1.1",,,"17.3","66.5",16.2
"23","159",,40.02,72.39,"lat-lon of Sui Checti Valley, Kyrgyzia","2900",10.92,236.51,"arid","Montane Grasslands & Shrublands",,,"0","20",,,"grassland",,,,"aggregate","0.250-2mm",6200,300,2500,140,65448.8755323807,51948.8755323807,13500,,,,,,,,,,,,
"24","159",,40.02,72.39,"lat-lon of Sui Checti Valley, Kyrgyzia","2900",10.92,236.51,"arid","Montane Grasslands & Shrublands",,,"0","20",,,"grassland",,,,"aggregate","0.02-0.250mm",7100,400,3200,800,76765.1673765076,58765.1673765076,18000,,,,,,,,,,,,
"25","159","calculated FNC is negative, but AS values are correct (as reported in the text)",40.02,72.39,"lat-lon of Sui Checti Valley, Kyrgyzia","2900",10.92,236.51,"arid","Montane Grasslands & Shrublands",,,"0","20",,,"grassland",,,,"aggregate","0.002-0.02mm",3200,3100,1400,1600,139500,0,139500,,,,,,,,,,,,
"26","159",,40.02,72.39,"lat-lon of Sui Checti Valley, Kyrgyzia","2900",10.92,236.51,"arid","Montane Grasslands & Shrublands",,,"0","20",,,"grassland",,,,"aggregate","<0.002mm",12000,4300,6900,400,246300.549297457,52800.5492974565,193500,,,,,,,,,,,,
"27","159",,40.02,72.39,"lat-lon of Sui Checti Valley, Kyrgyzia","2900",10.92,236.51,"arid","Montane Grasslands & Shrublands",,,"0","1.5","litter",,"forest",,,,"bulk soil",,5600,2000,700,1400,114725.836882538,24725.8368825379,90000,,,,,"465.7","465.7","11.5",,,,,
"28","159",,40.02,72.39,"lat-lon of Sui Checti Valley, Kyrgyzia","2900",10.92,236.51,"arid","Montane Grasslands & Shrublands",,,"1.5","4.5","Of",,"forest",,,,"bulk soil",,11200,2600,5800,300,184423.587947299,67423.5879472993,117000,,,,,"340.3","340.3","15.5","7.1","CaCl2",,,
"29","159",,40.02,72.39,"lat-lon of Sui Checti Valley, Kyrgyzia","2900",10.92,236.51,"arid","Montane Grasslands & Shrublands",,,"4.5","6.5","Oh",,"forest",,,,"bulk soil",,11400,2200,6000,300,173358.420570792,74358.4205707917,99000,,,,,"258.6","258.6","13.2","7.2","CaCl2",,,
"30","159",,40.02,72.39,"lat-lon of Sui Checti Valley, Kyrgyzia","2900",10.92,236.51,"arid","Montane Grasslands & Shrublands",,,"6.5","16.5","A",,"forest",,,,"bulk soil",,4800,1300,2500,600,85011.7939736496,26511.7939736496,58500,,,,,"130.8","130.8","8.6","7","CaCl2","15.5","44.1",35.4
"31","159",,40.02,72.39,"lat-lon of Sui Checti Valley, Kyrgyzia","2900",10.92,236.51,"arid","Montane Grasslands & Shrublands",,,"0","10",,,"forest",,,,"aggregate","0.250-2mm",5100,1200,2400,700,84495.5021295227,30495.5021295227,54000,,,,,"130.8","130.8",,,,,,
"32","159",,40.02,72.39,"lat-lon of Sui Checti Valley, Kyrgyzia","2900",10.92,236.51,"arid","Montane Grasslands & Shrublands",,,"0","10",,,"forest",,,,"aggregate","0.02-0.250mm",6600,2600,2400,2700,143023.587947299,26023.5879472993,117000,,,,,"130.8","130.8",,,,,,
"33","159","calculated FNC is negative, but AS values are correct (as reported in the text)",40.02,72.39,"lat-lon of Sui Checti Valley, Kyrgyzia","2900",10.92,236.51,"arid","Montane Grasslands & Shrublands",,,"0","10",,,"forest",,,,"aggregate","0.002-0.02mm",4100,3600,2300,800,162000,0,162000,,,,,"130.8","130.8",,,,,,
"34","159",,40.02,72.39,"lat-lon of Sui Checti Valley, Kyrgyzia","2900",10.92,236.51,"arid","Montane Grasslands & Shrublands",,,"0","10",,,"forest",,,,"aggregate","<0.002mm",11100,4900,6000,300,257498.300362218,36998.3003622179,220500,,,,,"130.8","130.8",,,,,,
"35","159",,40.02,72.39,"lat-lon of Sui Checti Valley, Kyrgyzia","2900",10.92,236.51,"arid","Montane Grasslands & Shrublands",,,"0","10","A",,"grassland",,,,"bulk soil",,7100,500,3500,300,79981.4592206345,57481.4592206345,22500,,,,,"87.7","87.7","11.5","5.6","CaCl2","19.9","45.3",27.5
"36","158",,41.517,123.4,"lat-lon of Sui Checti Valley, Kyrgyzia",,8.39,695.67,"snow","Temperate Broadleaf & Mixed Forests",,,"0","20",,,"cropland",,,,"bulk soil",,495,15,,,4937.44377661903,4262.44377661903,675,"675",4262.41,,,"10.02",,"1.21","3.51",,"4.4",,
"37","158",,43.6,124.667,"lat-lon of Sui Checti Valley, Kyrgyzia",,5.98,578.92,"snow","Temperate Broadleaf & Mixed Forests",,,"0","20",,,"cropland",,,,"bulk soil",,572.23,35.3,,,6285.42102097679,4696.92102097679,1588.5,"1588.5",4696.85,,,"12.51",,"1.52","6",,,,
"38","157",,41.31,123.24,,"55",8.18,795.71,"snow","Temperate Broadleaf & Mixed Forests",,,"0","20",,"Alfisols","cropland",,,,"bulk soil",,690,37,103,,7400.02798232695,5735.02798232695,1665,,,,,,"11.37","1.21","6",,,,
"39","157",,41.31,123.24,,"55",8.18,795.71,"snow","Temperate Broadleaf & Mixed Forests",,,"0","20",,"Alfisols","cropland",,,,"bulk soil",,549,29,249,,5873.7246347968,4568.7246347968,1305,,,,,,"11.37","1.21","6",,,,
"40","156",,51.46,9.98,,"228",7.08,684.49,"temperate","Temperate Broadleaf & Mixed Forests","straw","control","0","10",,,"cropland",,,1999,"bulk soil",,600,31,,,6397.05047167934,5002.05047167934,1395,"314",,,,,"12.00","1.1","6.9","water","12","14",74
"41","156",,51.46,9.98,,"228",7.08,684.49,"temperate","Temperate Broadleaf & Mixed Forests","straw","maize straw","0","10",,,"cropland",,,1999,"bulk soil",,680,41,,,7438.67965609203,5593.67965609203,1845,"393",,,,,,,"6.9","water","12","14",74
"42","156",,51.46,9.98,,"228",7.08,684.49,"temperate","Temperate Broadleaf & Mixed Forests","straw","extracted maize straw","0","10",,,"cropland",,,1999,"bulk soil",,740,36,,,7817.86506388568,6197.86506388568,1620,"322",,,,,,,"6.9","water","12","14",74
"43","156",,51.46,9.98,,"228",7.08,684.49,"temperate","Temperate Broadleaf & Mixed Forests","straw","fumigated + extracted maize","0","10",,,"cropland",,,1999,"bulk soil",,680,35,,,7245.70214544441,5670.70214544441,1575,"324",,,,,,,"6.9","water","12","14",74
"44","155",,47.5,7.55,,"301",9,1089.28,"temperate","Temperate Broadleaf & Mixed Forests","manure","biodynamic organic","0","5",,"Haplic Luvisol","cropland",,,,"bulk soil",,780,68,300,,9207.07845400629,6147.07845400629,3060,"3",6.2,,,"16",,"2","5.8","0.1 M KCl",,,
"45","155",,47.5,7.55,,"301",9,1089.28,"temperate","Temperate Broadleaf & Mixed Forests","manure","bioorganic","0","5",,"Haplic Luvisol","cropland",,,,"bulk soil",,740,60,260,,8589.77510647614,5889.77510647614,2700,"2.7",5.9,,,"14.4",,"1.8","5.4","0.1 M KCl","16","72",12
"46","155",,47.5,7.55,,"301",9,1089.28,"temperate","Temperate Broadleaf & Mixed Forests","manure","conventional1","0","5",,"Haplic Luvisol","cropland",,,,"bulk soil",,710,55,230,,8158.96051426979,5683.96051426979,2475,"2.5",5.7,,,"13.5",,"1.9","5.3","0.1 M KCl","16","72",12
"47","155",,47.5,7.55,,"301",9,1089.28,"temperate","Temperate Broadleaf & Mixed Forests","manure","conventional2","0","5",,"Haplic Luvisol","cropland",,,,"bulk soil",,660,45,210,,7387.3313298571,5362.3313298571,2025,"2",5.4,,,"12.3",,,"4.5","0.1 M KCl",,,
"48","154",,52.25,10.25,,"90",9,697.7,"temperate","Temperate Broadleaf & Mixed Forests",,,"0","10",,"Planosols","forest",,,,"bulk soil",,2730,210,1840,160,31324.2128726665,21874.2128726665,9450,,,"610",,,"59.9","4.3","3.9",,"15.00","77",8
"49","154",,52.25,10.25,,"90",9,697.7,"temperate","Temperate Broadleaf & Mixed Forests",,,"0","10",,"Planosols","forest",,,,"bulk soil",,2640,140,1550,49,28262.8085817777,21962.8085817777,6300,,,"520",,,"58","2.4","3.9",,"6.00","39",55
"50","154",,52.25,10.25,,"90",9,697.7,"temperate","Temperate Broadleaf & Mixed Forests",,,"0","10",,"Gleysols","cropland",,,,"bulk soil",,1180,140,690,33,15122.8085817777,8822.80858177765,6300,,,"450",,,"18.6","1.8","7",,"35.00","55",10
"51","154",,52.25,10.25,,"90",9,697.7,"temperate","Temperate Broadleaf & Mixed Forests",,,"0","10",,"Gleysols","cropland",,,,"bulk soil",,1190,117,840,,14473.0614576285,9208.06145762847,5265,,,"360",,,"15.1","1.4","7.3",,"34.00","56",10
"52","154",,52.25,10.25,,"90",9,697.7,"temperate","Temperate Broadleaf & Mixed Forests",,,"0","10",,"Gleysols","cropland",,,,"bulk soil",,1400,110,910,,16137.9210285396,11187.9210285396,4950,,,"200",,,"14","1.2","7.8",,"18.00","66",16
"53","154",,52.25,10.25,,"90",9,697.7,"temperate","Temperate Broadleaf & Mixed Forests",,,"0","10",,"Gleysols","cropland",,,,"bulk soil",,980,67,540,,10974.915535565,7959.91553556502,3015,,,"180",,,"7.8","0.7","7.4",,"8.00","8",84
"54","153",,47.433,126.633,,,1.97,543.87,"snow","Temperate Broadleaf & Mixed Forests","manure","CK","0","20",,,"cropland",,,,"bulk soil",,1065.42,60.75,,,11542.6772953071,8808.92729530709,2733.75,"2733.65",8808.83,,,"25.63",,"1.99","6.49",,"35.78",,
"55","153",,47.433,126.633,,,1.97,543.87,"snow","Temperate Broadleaf & Mixed Forests","manure","OM0","0","20",,,"cropland",,,,"bulk soil",,1158.88,74.77,,,12834.7414118537,9470.09141185368,3364.65,"3364.49",9469.98,,,"26.45",,"2.08","6.02",,,,
"56","153",,47.433,126.633,,,1.97,543.87,"snow","Temperate Broadleaf & Mixed Forests","manure","OM1","0","20",,,"cropland",,,,"bulk soil",,1154.21,70.09,,,12642.1889535485,9488.13895354854,3154.05,"3154.21",9487.94,,,"28.83",,"2.2","5.88",,,,
"57","153",,47.433,126.633,,,1.97,543.87,"snow","Temperate Broadleaf & Mixed Forests","manure","OM2","0","20",,,"cropland",,,,"bulk soil",,1214.95,79.44,,,13489.5722409744,9914.77224097441,3574.8,"3574.77",9914.61,,,"29.36",,"2.29","5.94",,,,
"58","153",,47.433,126.633,,,1.97,543.87,"snow","Temperate Broadleaf & Mixed Forests","manure","OM3","0","20",,,"cropland",,,,"bulk soil",,1280.37,70.09,,,13777.6289535485,10623.5789535485,3154.05,"3154.21",10623.38,,,"30.25",,"2.51","6.04",,,,
"59","153",,47.433,126.633,,,1.97,543.87,"snow","Temperate Broadleaf & Mixed Forests","manure","CK","0","20",,,"cropland",,,,"bulk soil",,1089,58.6,,,11685.7470206584,9048.74702065836,2637,"2637",9048.62,,,"27.23",,"2.18","6.11",,,,
"60","153",,47.433,126.633,,,1.97,543.87,"snow","Temperate Broadleaf & Mixed Forests","manure","NPK","0","20",,,"cropland",,,,"bulk soil",,1135,64.4,,,12286.2919476177,9388.29194761772,2898,"2898",9388.15,,,"27.77",,"2.13","6.12",,"40.8",,
"61","153",,47.433,126.633,,,1.97,543.87,"snow","Temperate Broadleaf & Mixed Forests","manure","NPKS1","0","20",,,"cropland",,,,"bulk soil",,1167,66.6,,,12645.0503681885,9648.05036818851,2997,"2997",9647.91,,,"28.79",,"2.22","6.05",,"40.8",,
"62","153",,47.433,126.633,,,1.97,543.87,"snow","Temperate Broadleaf & Mixed Forests","manure","NPKS2","0","20",,,"cropland",,,,"bulk soil",,1120,71,,,12363.5672093301,9168.5672093301,3195,"3195",9168.41,,,"28.44",,"2.17","5.89",,"40.8",,
"63","153",,47.433,126.633,,,1.97,543.87,"snow","Temperate Broadleaf & Mixed Forests","manure","NPKM","0","20",,,"cropland",,,,"bulk soil",,1179,88.9,,,13470.2834494288,9469.78344942881,4000.5,"4000.5",9469.59,,,"29.79",,"2.41","5.78",,"40.8",,
"64","152",,47.43,126.63,,"196",1.97,543.87,"snow","Temperate Broadleaf & Mixed Forests","fertilizer","CK","0","20",,,"cropland",,"maize-soybean-wheat",2011,"bulk soil",,1089,58.6,565.4,,11685.7470206584,9048.74702065836,2637,,,"286",,"26.9","27.23","2.18","6.12","water","41.3","32.8",26
"65","152",,47.43,126.63,,"196",1.97,543.87,"snow","Temperate Broadleaf & Mixed Forests","fertilizer","NPK","0","20",,,"cropland",,"maize-soybean-wheat",2011,"bulk soil",,1135,64.4,590.9,,12286.2919476177,9388.29194761772,2898,,,"275",,,"27.77","2.13","6.05","water","41.3","32.8",26
"66","152",,47.43,126.63,,"196",1.97,543.87,"snow","Temperate Broadleaf & Mixed Forests","fertilizer","NPKS1","0","20",,,"cropland",,"maize-soybean-wheat",2011,"bulk soil",,1167,66.6,594.8,,12645.0503681885,9648.05036818851,2997,,,"288",,,"28.79","2.22","5.89","water","41.3","32.8",26
"67","152",,47.43,126.63,,"196",1.97,543.87,"snow","Temperate Broadleaf & Mixed Forests","fertilizer","NPKS2","0","20",,,"cropland",,"maize-soybean-wheat",2011,"bulk soil",,1120,71,620.6,,12363.5672093301,9168.5672093301,3195,,,"329",,,"28.44","2.17","5.78","water","41.3","32.8",26
"68","152",,47.43,126.63,,"196",1.97,543.87,"snow","Temperate Broadleaf & Mixed Forests","fertilizer","NPKM","0","20",,,"cropland",,"maize-soybean-wheat",2011,"bulk soil",,1179,88.9,590.6,,13470.2834494288,9469.78344942881,4000.5,,,"361",,,"29.79","2.41","6.1","water","41.3","32.8",26
"69","151",,24.367,56.567,,"180",27.37,83.72,"arid","Deserts & Xeric Shrublands","manure","Initial contents","0","10",,"hyperthermic Typic Torrifluvent","cropland",,,2010,"bulk soil",,80,26,31,,1556.23587947299,386.235879472993,1170,,,,,"7.6",,"0.40",,,"5","13",82
"70","151",,24.367,56.567,,"180",27.37,83.72,"arid","Deserts & Xeric Shrublands","biochar","Mineral","0","10",,"hyperthermic Typic Torrifluvent","cropland",,,2010,"bulk soil",,53,23,26,,1216.74712414919,181.747124149186,1035,,,,,"8.5",,"0.54",,,"5","13",82
"71","151",,24.367,56.567,,"180",27.37,83.72,"arid","Deserts & Xeric Shrublands","manure","Manure","0","10",,"hyperthermic Typic Torrifluvent","cropland",,,2010,"bulk soil",,70,28,32,,1530.56171635553,270.561716355531,1260,,,,,"9.1",,"0.63",,,"5","13",82
"72","151",,24.367,56.567,,"180",27.37,83.72,"arid","Deserts & Xeric Shrublands","biochar","Manure fed charcoal","0","10",,"hyperthermic Typic Torrifluvent","cropland",,,2010,"bulk soil",,64,29,30,,1508.7246347968,203.7246347968,1305,,,,,"10.6",,"0.67",,,"5","13",82
"73","151",,24.367,56.567,,"180",27.37,83.72,"arid","Deserts & Xeric Shrublands","biochar","Manure mix charcoal","0","10",,"hyperthermic Typic Torrifluvent","cropland",,,2010,"bulk soil",,70,27,31,,1498.39879791426,283.398797914262,1215,,,,,"10.5",,"0.64",,,"5","13",82
"74","151",,24.367,56.567,,"180",27.37,83.72,"arid","Deserts & Xeric Shrublands",,"Manure fed tannin","0","10",,"hyperthermic Typic Torrifluvent","cropland",,,2010,"bulk soil",,80,30,34,,1684.88755323807,334.887553238069,1350,,,,,"9.6",,"0.70",,,"5","13",82
"75","151",,24.367,56.567,,"180",27.37,83.72,"arid","Deserts & Xeric Shrublands",,"Manure mix tannin","0","10",,"hyperthermic Typic Torrifluvent","cropland",,,2010,"bulk soil",,66,28,31,,1494.56171635553,234.561716355531,1260,,,,,"10.3",,"0.68",,,"5","13",82
"76","151",,24.367,56.567,,"180",27.37,83.72,"arid","Deserts & Xeric Shrublands",,"Mineral","0","10",,"hyperthermic Typic Torrifluvent","cropland",,,2010,"bulk soil",,66,25,24,,1398.07296103172,273.072961031724,1125,,,,,"5.7",,"0.32",,,"5","13",82
"77","151",,24.367,56.567,,"180",27.37,83.72,"arid","Deserts & Xeric Shrublands",,"Manure","0","10",,"hyperthermic Typic Torrifluvent","cropland",,,2010,"bulk soil",,127,41,44,,2461.67965609203,616.679656092027,1845,,,,,"7.6",,"0.54",,,"5","13",82
"78","151",,24.367,56.567,,"180",27.37,83.72,"arid","Deserts & Xeric Shrublands",,"Manure fed charcoal","0","10",,"hyperthermic Typic Torrifluvent","cropland",,,2010,"bulk soil",,126,44,45,,2549.16841141583,569.168411415834,1980,,,,,"9.3",,"0.54",,,"5","13",82
"79","151",,24.367,56.567,,"180",27.37,83.72,"arid","Deserts & Xeric Shrublands",,"Manure mix charcoal","0","10",,"hyperthermic Typic Torrifluvent","cropland",,,2010,"bulk soil",,109,36,38,,2138.86506388568,518.865063885683,1620,,,,,"9.1",,"0.46",,,"5","13",82
"80","151",,24.367,56.567,,"180",27.37,83.72,"arid","Deserts & Xeric Shrublands",,"Manure fed tannin","0","10",,"hyperthermic Typic Torrifluvent","cropland",,,2010,"bulk soil",,117,38,41,,2275.19090076822,565.19090076822,1710,,,,,"7.8",,"0.57",,,"5","13",82
"81","151",,24.367,56.567,,"180",27.37,83.72,"arid","Deserts & Xeric Shrublands",,"Manure mix tannin","0","10",,"hyperthermic Typic Torrifluvent","cropland",,,2010,"bulk soil",,116,42,41,,2394.8425745333,504.842574533296,1890,,,,,"8",,"0.54",,,"5","13",82
"82","150",,47.433,126.633,,,1.97,543.87,"snow","Temperate Broadleaf & Mixed Forests","fertilizer","CK","0","20",,"phaeozems/udolls","cropland",,,,"bulk soil",,1037,86.8,,,12124.7413207021,8218.74132070215,3906,,,"157",,"27.1",,"2","6.1",,"41","33",26
"83","150",,47.433,126.633,,,1.97,543.87,"snow","Temperate Broadleaf & Mixed Forests","fertilizer","NP","0","20",,"phaeozems/udolls","cropland",,,,"bulk soil",,1105,89.9,,,12836.4463678701,8790.94636787008,4045.5,,,"193",,"29.2",,,,,"41","33",26
"84","150",,47.433,126.633,,,1.97,543.87,"snow","Temperate Broadleaf & Mixed Forests","fertilizer","NPM","0","20",,"phaeozems/udolls","cropland",,,,"bulk soil",,1422,105,,,16175.1064363332,11450.1064363332,4725,,,"333",,"33.4",,,,,"41","33",26
"85","150",,47.433,126.633,,,1.97,543.87,"snow","Temperate Broadleaf & Mixed Forests","fertilizer","CK","0","20",,"phaeozems/udolls","cropland",,,,"aggregate",">2mm",1054,80.6,,,12078.3312263663,8451.33122636628,3627,,,,,"34.8",,,,,"41","33",26
"86","150",,47.433,126.633,,,1.97,543.87,"snow","Temperate Broadleaf & Mixed Forests","fertilizer","NP","0","20",,"phaeozems/udolls","cropland",,,,"aggregate",">2mm",1139,86.6,,,13036.3087370139,9139.30873701389,3897,,,,,"38.3",,,,,"41","33",26
"87","150",,47.433,126.633,,,1.97,543.87,"snow","Temperate Broadleaf & Mixed Forests","fertilizer","NPM","0","20",,"phaeozems/udolls","cropland",,,,"aggregate",">2mm",1467,103,,,16515.7805994507,11880.7805994507,4635,,,,,"53.9",,,,,"41","33",26
"88","150",,47.433,126.633,,,1.97,543.87,"snow","Temperate Broadleaf & Mixed Forests","fertilizer","CK","0","20",,"phaeozems/udolls","cropland",,,,"aggregate","0.250-2mm",1140,87.1,,,13061.3901962345,9141.89019623453,3919.5,,,,,"33.8",,,,,"41","33",26
"89","150",,47.433,126.633,,,1.97,543.87,"snow","Temperate Broadleaf & Mixed Forests","fertilizer","NP","0","20",,"phaeozems/udolls","cropland",,,,"aggregate","0.250-2mm",1164,87.3,,,13283.8227799228,9355.32277992278,3928.5,,,,,"33.1",,,,,"41","33",26
"90","150",,47.433,126.633,,,1.97,543.87,"snow","Temperate Broadleaf & Mixed Forests","fertilizer","NPM","0","20",,"phaeozems/udolls","cropland",,,,"aggregate","0.250-2mm",1492,103,,,16740.7805994507,12105.7805994507,4635,,,,,"46",,,,,"41","33",26
"91","150",,47.433,126.633,,,1.97,543.87,"snow","Temperate Broadleaf & Mixed Forests","fertilizer","CK","0","20",,"phaeozems/udolls","cropland",,,,"aggregate","0.053-0.250mm",1143,90.7,,,13204.1767026231,9122.67670262309,4081.5,,,,,"32.1",,,,,"41","33",26
"92","150",,47.433,126.633,,,1.97,543.87,"snow","Temperate Broadleaf & Mixed Forests","fertilizer","NP","0","20",,"phaeozems/udolls","cropland",,,,"aggregate","0.053-0.250mm",1100,97.7,,,13042.317131712,8645.81713171198,4396.5,,,,,"32.8",,,,,"41","33",26
"93","150",,47.433,126.633,,,1.97,543.87,"snow","Temperate Broadleaf & Mixed Forests","fertilizer","NPM","0","20",,"phaeozems/udolls","cropland",,,,"aggregate","0.053-0.250mm",1394,129,,,16695.0164789237,10890.0164789237,5805,,,,,"37.9",,,,,"41","33",26
